area,UTM_X,UTM_Y
3.083098,650937.18824,5046981.2192
6.304948,618234.579473,4979608.49201
11.899552,617452.677253,4980104.96313
4.450398,592830.734078,4982854.87623
26.551044,647143.393643,4986131.33086
8.4055,641636.380301,4989842.37592
5.512844,641413.736098,4990583.52084
11.921348,646328.937503,4991399.30239
8.595699,594318.122511,4992500.73638
7.54615,652010.460825,4999265.2726
12.216443,670941.843441,5013399.83505
3.43235,658504.525818,5021047.34864
3.7661,639501.35185,5031233.00353
21.34185,660831.779928,5034061.90603
11.167352,648232.395414,5046762.9354
2.882102,676085.807262,5049448.48184
7.112498,652576.27724,5052056.04961
4.911096,590830.014831,5009885.95037
2.823949,654845.896259,5055254.31342
1.06545,615318.703217,5028052.53909
27.086049,627288.590028,5009625.09277
2.6582,627805.044837,5020602.79572
3.998201,660632.817971,5025669.29342
1.060798,666981.634452,5054690.8572
9.615497,681242.40718,5057922.87607
5.718299,653383.762747,5003739.04195
5.826751,650817.527691,5020302.31768
2.978392,658945.229337,5007951.03981
21.344601,673648.226337,5013465.28253
54.898847,623963.716018,5001865.48825
197.967119,663574.413313,5034031.75966
334.165924,678172.165186,5046552.65686
11.084552,666129.819648,5048150.04732
34.037433,658285.497542,5008602.62574
25.798796,638441.980524,5017315.9823
30.281249,665843.41868,5046917.49489
11.396001,676124.732505,5023815.42851
33.394246,581769.05777,5009876.46726
148.700052,613871.360669,4982163.67297
82.579951,638712.429016,5007077.39236
136.908799,667132.289143,5020010.37096
18.896347,663928.075744,5020762.01055
9.818399,652640.622461,5053828.35917
51.037355,626318.13959,5038485.38029
121.283457,582738.625414,5002675.02683
22.628402,656217.595034,5023035.98007
515.905534,584263.154692,5007124.62949
39.511402,655564.782923,5046855.94991
10.643875,658912.885769,5028145.48083
141.720232,681875.093115,5033392.68571
12.938953,676267.724094,5034250.37277
132.40013,621478.758579,4979617.40221
14.21025,601469.323863,5006034.28086
89.328646,650220.789635,5001268.56792
8.294652,591384.300627,5009933.99075
152.217795,656949.164315,5036233.90445
13.373902,601819.754069,5007219.92135
