0.2	0.2	1e-05	-343.558
0.2	0.2	2e-05	-374.787
0.2	0.2	3e-05	-403.822
0.2	0.2	4e-05	-418.741
0.2	0.2	5e-05	-430.921
0.2	0.2	6e-05	-443.697
0.2	0.2	7e-05	-460.574
0.2	0.2	8e-05	-466.263
0.2	0.2	9e-05	-492.515
0.2	0.2	0.0001	-489.913
0.2	0.2	0.00011	-489.553
0.2	0.2	0.00012	-499.902
0.2	0.2	0.00013	-509.846
0.2	0.2	0.00014	-518.624
0.2	0.2	0.00015	-512.892
0.2	0.2	0.00016	-531.088
0.2	0.2	0.00017	-528.048
0.2	0.2	0.00018	-535.663
0.2	0.2	0.00019	-539.202
0.2	0.2	0.0002	-551.765
0.2	0.2	0.00021	-552.07
0.2	0.2	0.00022	-550.974
0.2	0.2	0.00023	-571.859
0.2	0.2	0.00024	-563.666
0.2	0.2	0.00025	-563.812
0.2	0.2	0.00026	-580.083
0.2	0.2	0.00027	-571.71
0.2	0.2	0.00028	-601.75
0.2	0.2	0.00029	-574.18
0.2	0.2	0.0003	-586.466
0.2	0.2	0.00031	-588.359
0.2	0.2	0.00032	-597.216
0.2	0.2	0.00033	-594.012
0.2	0.2	0.00034	-609.874
0.2	0.2	0.00035	-613.819
0.2	0.2	0.00036	-615.98
0.2	0.2	0.00037	-620.85
0.2	0.2	0.00038	-605.238
0.2	0.2	0.00039	-619.6
0.2	0.2	0.0004	-627.253
0.2	0.2	0.00041	-647.746
0.2	0.2	0.00042	-617.133
0.2	0.2	0.00043	-630.346
0.2	0.2	0.00044	-621.739
0.2	0.2	0.00045	-635.485
0.2	0.2	0.00046	-651.713
0.2	0.2	0.00047	-626.526
0.2	0.2	0.00048	-646.404
0.2	0.2	0.00049	-649.62
0.2	0.2	0.0005	-645.043
0.2	0.2	0.00051	-650.702
0.2	0.2	0.00052	-656.779
0.2	0.2	0.00053	-660.502
0.2	0.2	0.00054	-647.227
0.2	0.2	0.00055	-652.979
0.2	0.2	0.00056	-650.022
0.2	0.2	0.00057	-667.624
0.2	0.2	0.00058	-657.841
0.2	0.2	0.00059	-681.512
0.2	0.2	0.0006	-676.975
0.2	0.2	0.00061	-670.428
0.2	0.2	0.00062	-666.629
0.2	0.2	0.00063	-677.789
0.2	0.2	0.00064	-666.637
0.2	0.2	0.00065	-681.418
0.2	0.2	0.00066	-672.74
0.2	0.2	0.00067	-680.856
0.2	0.2	0.00068	-671.833
0.2	0.2	0.00069	-691.863
0.2	0.2	0.0007	-696.816
0.2	0.2	0.00071	-670.075
0.2	0.2	0.00072	-674.607
0.2	0.2	0.00073	-687.886
0.2	0.2	0.00074	-694.299
0.2	0.2	0.00075	-694.026
0.2	0.2	0.00076	-682.86
0.2	0.2	0.00077	-692.581
0.2	0.2	0.00078	-712.207
0.2	0.2	0.00079	-698.908
0.2	0.2	0.0008	-691.725
0.2	0.2	0.00081	-699.116
0.2	0.2	0.00082	-701.089
0.2	0.2	0.00083	-698.801
0.2	0.2	0.00084	-710.932
0.2	0.2	0.00085	-701.909
0.2	0.2	0.00086	-705.06
0.2	0.2	0.00087	-711.755
0.2	0.2	0.00088	-706.925
0.2	0.2	0.00089	-712.287
0.2	0.2	0.000900001	-734.955
0.2	0.2	0.000910001	-730.915
0.2	0.2	0.000920001	-718.538
0.2	0.2	0.000930001	-702.921
0.2	0.2	0.000940001	-719.986
0.2	0.2	0.000950001	-715.162
0.2	0.2	0.000960001	-727.059
0.2	0.2	0.000970001	-725.628
0.2	0.2	0.000980001	-738.151
0.2	0.2	0.000990001	-711.927
0.2	0.2	0.001	-730.192
0.2	0.2	0.00101	-719.468
0.2	0.2	0.00102	-722.182
0.2	0.2	0.00103	-740.433
0.2	0.2	0.00104	-745.683
0.2	0.2	0.00105	-734.242
0.2	0.2	0.00106	-728.26
0.2	0.2	0.00107	-725.996
0.2	0.2	0.00108	-729.706
0.2	0.2	0.00109	-748.912
0.2	0.2	0.0011	-736.478
0.2	0.2	0.00111	-739.862
0.2	0.2	0.00112	-735.149
0.2	0.2	0.00113	-739.847
0.2	0.2	0.00114	-744.174
0.2	0.2	0.00115	-747.353
0.2	0.2	0.00116	-731.955
0.2	0.2	0.00117	-760.384
0.2	0.2	0.00118	-766.721
0.2	0.2	0.00119	-737.988
0.2	0.2	0.0012	-769.326
0.2	0.2	0.00121	-742.51
0.2	0.2	0.00122	-749.069
0.2	0.2	0.00123	-767.091
0.2	0.2	0.00124	-768.736
0.2	0.2	0.00125	-772.063
0.2	0.2	0.00126	-772.923
0.2	0.2	0.00127	-765.256
0.2	0.2	0.00128	-766.447
0.2	0.2	0.00129	-773.693
0.2	0.2	0.0013	-767.69
0.2	0.2	0.00131	-759.596
0.2	0.2	0.00132	-756.072
0.2	0.2	0.00133	-760.777
0.2	0.2	0.00134	-774.853
0.2	0.2	0.00135	-761.673
0.2	0.2	0.00136	-778.307
0.2	0.2	0.00137	-794.226
0.2	0.2	0.00138	-771.98
0.2	0.2	0.00139	-782.352
0.2	0.2	0.0014	-791.612
0.2	0.2	0.00141	-771.278
0.2	0.2	0.00142	-778.087
0.2	0.2	0.00143	-777.829
0.2	0.2	0.00144	-760.754
0.2	0.2	0.00145	-784.97
0.2	0.2	0.00146	-789.005
0.2	0.2	0.00147	-787.152
0.2	0.2	0.00148	-802.327
0.2	0.2	0.00149	-772.016
0.2	0.2	0.0015	-780.398
0.2	0.2	0.00151	-787.957
0.2	0.2	0.00152	-771.178
0.2	0.2	0.00153	-794.616
0.2	0.2	0.00154	-782.201
0.2	0.2	0.00155	-786.597
